name_book,avtor,rating,count_favourites,count_views,age_restriction,comments_count,publication_date,pages,price,target
Мёртвая Живая,Натали Лавру,256.0,2412,47383,18+,88,05.10.2024,159,119.0,256
Отец моего парня. Его одержимость - я,Ульяна Соболева,358.0,1317,4654,18+,91,27.11.2024,41,139.0,306
Вторая жизнь и мир по наследству,Taruna Poddubnaya,3525.0,16205,1731682,18+,790,07.01.2023,626,0.0,3353
Наследница для миллиардера,Лана Гриц,266.0,1496,139772,0,102,24.08.2024,114,0.0,266
Несмотря на запреты,Кэти Свит,2325.0,3818,374070,18+,415,31.01.2021,153,175.0,1051
Однажды ты пожалеешь,Рита Навьер,13615.0,14099,1434781,0,3617,02.11.2021,250,175.0,4753
"Кусучий случай, или няня для обреченного",Кристина Юраш,3759.0,5905,781572,0,503,15.11.2021,210,175.0,1789
Собирай меня по осколкам,Ники Сью,2042.0,4065,444465,0,258,19.03.2022,198,127.2,1590
Искры снега,Ники Сью,4274.0,10031,1137086,0,735,14.12.2022,190,112.5,3257
"Прости, я тебе изменил",Лена Лорен,1396.0,3614,432326,18+,457,29.12.2022,267,159.0,1334
"Заноза для ректора, или Переполох в академии Тьмагов",Кристина Корр,748.0,2510,131166,0,54,06.02.2023,305,159.0,712
Случайный брак,Диана Рымарь,1685.0,4228,485787,0,81,15.03.2023,129,159.0,1360
Измена. Предательство с отягчающими,Ляся Бледная,624.0,1945,273969,0,152,28.04.2023,163,149.0,592
Я хочу быть тобой,Маргарита Дюжева,1672.0,3212,377730,0,1412,17.05.2023,209,159.0,1518
Больше не твоя,Кэти Свит,362.0,1967,268007,0,7,03.09.2023,133,159.0,340
Кукла Буйного,Джулия Ромуш,3820.0,12521,1811467,18+,843,05.09.2023,157,179.0,3755
Злодей из Штормового замка,Лия Новикова,607.0,1574,89804,0,170,29.10.2023,338,149.0,457
Никуда от меня не денешься,Кристина Майер,3700.0,13987,1100284,18+,1103,04.03.2024,175,159.0,3578
Отвергнутая невеста. Хозяйка заброшенного дома,Константин Фрес,3779.0,11484,796215,0,1332,09.04.2024,249,149.0,3585
Строптивая жена драконьего военачальника,Алекс Найт,3003.0,12147,1005709,0,90,23.06.2024,118,0.0,3003
Иномирная супруга дракона,Ольга Коротаева,711.0,3639,66783,0,122,22.08.2024,94,119.0,711
"Отвергнутая жена дракона, или Хозяйка магического приюта",Илана Васина,421.0,2614,64366,0,108,12.09.2024,139,119.0,415
Истинная демона-дракона,Рия Вилар,337.0,2522,95106,0,312,29.09.2024,91,0.0,329
Измена. Танцы на осколках,Анна Рэйн,452.0,2347,96095,18+,193,30.09.2024,116,0.0,448
Мархарат. Свидание с демоном,Майя Марук,330.0,1089,7211,18+,105,03.11.2024,52,0.0,276
Запасная жена,Ирина Романовская,153.0,797,19709,0,46,10.11.2024,67,119.0,141
Алиев. Его сладкий плен,Кара Райр,138.0,952,9126,18+,14,20.11.2024,25,0.0,138
Снова будешь моей,Лина Коваль,2960.0,8821,995556,18+,292,04.02.2023,164,0.0,2927
Мой опасный ректор академии космодесанта,Татьяна Гончарова,5811.0,19797,1572429,18+,802,24.01.2024,185,0.0,5582
Джамал. Его невинная девочка,Анастасия Шерр,197.0,1194,9144,18+,66,09.11.2024,26,149.0,191
"Бедовая практикантка для Юджина, или целителю нужна жена.",Оксана Рассветная,178.0,974,4101,0,59,02.12.2024,17,0.0,148
Не рассказывай,Ольга Вечная,10539.0,17573,2124004,18+,5675,23.05.2021,234,159.0,7309
Ворон,Эмилия Грин,9397.0,26108,5542101,0,2652,11.10.2022,280,169.0,8642
Недотрога для босса,Айрин Бонд,1088.0,3032,539760,18+,131,02.05.2023,197,149.0,1018
Мерзавец высшей академии,Виктория Миллс,6198.0,17083,1474434,18+,986,24.05.2023,183,169.0,4948
Одержимость Юсупова,Джулия Ромуш,4056.0,10334,1493333,18+,1563,28.06.2023,201,179.0,3600
Отвергнутая истинная. Месть мамы-одиночки,Елена Белильщикова,577.0,3668,192483,0,343,20.07.2024,160,109.0,521
Не зли сумасбродную магиню,Мила Морес,212.0,941,30782,18+,164,22.08.2024,316,159.0,210
Ученица Кощея,Ната Лакомка,357.0,1374,44857,0,473,01.10.2024,227,130.0,309
Его любимая Омега,Лилигрим Анталь,95.0,549,9408,18+,35,05.11.2024,76,99.0,93
Развод. Я не приму вторую!,Мила Реброва,311.0,1295,41933,0,112,18.11.2024,73,109.0,285
Яйца вкрутую,Мари Соль,239.0,576,10988,0,244,20.11.2024,110,99.0,198
Мой любимый (не) медведь,Наталья Юнина,15714.0,19066,1741172,18+,1576,08.11.2018,163,149.0,9693
Попаданка-травница на службе Его Величества,Хелен Гуда,1653.0,6940,274710,0,442,25.03.2024,157,179.0,1533
Таверна с новыми проблемами для попаданки,Злата Уютная,1605.0,5204,374688,0,656,09.04.2024,254,159.0,1499
"Больше, чем любовь",Натали Эклер,525.0,1127,58090,18+,228,20.08.2024,217,159.0,503
А я заставлю!,Элла Савицкая,400.0,1525,5374,18+,81,28.11.2024,19,0.0,331
Генерал Скала и ученица,Светлана Суббота,24813.0,34443,4639276,0,17507,03.12.2021,186,99.0,14382
Странная барышня,Алла Эрра,5773.0,11854,1715873,0,1724,17.03.2024,364,0.0,5503
Одна на троих. Простушка для мажоров,Алая Бетти,616.0,2161,199890,18+,366,30.07.2024,174,159.0,572
Бывшие. Была и будешь моей,Катерина Коротеева,344.0,1879,34501,18+,46,14.11.2024,54,129.0,332
Похищенная драконом. Право первой ночи,Людмила Королева,155.0,1049,8295,18+,49,21.11.2024,58,0.0,125
Снегурочка против воли,Лана Кроу,5297.0,9257,1259616,18+,394,20.12.2020,112,149.0,5001
Единственная для Буйного,Джулия Ромуш,4009.0,10830,1270612,18+,1689,05.01.2024,197,179.0,3796
Измена. Я тебя (не) любил,Анна Арно,2794.0,23933,1079335,18+,880,10.06.2024,167,159.0,2776
Измена. Начать заново,Диана Орфей,454.0,2648,246131,0,317,12.07.2024,133,0.0,454
Рекорд,Ольга Вечная,2729.0,6049,288508,18+,2057,16.07.2024,212,116.35,2661
Навсегда моя,Ники Сью,875.0,3699,200116,0,308,05.08.2024,151,179.0,873
Опасные тайны леди Эссентрис,Виктория Рейнер,565.0,1858,39663,18+,106,15.09.2024,183,129.0,547
Экономка тайного советника,Дия Сёмина,357.0,1965,39780,0,154,13.11.2024,56,0.0,279
Измена (не) моя любовь,Анна Эдельвейс,164.0,893,7563,18+,15,27.11.2024,38,0.0,162
Василёк для Зверя.,Анюта Васильева,1927.0,6530,515890,18+,138,27.03.2021,150,0.0,1908
Невинная для босса,Дана Герман,498.0,1181,52166,18+,95,29.03.2024,151,0.0,374
В плену у Тирана,Екатерина Юдина,5363.0,3986,559751,18+,1297,19.08.2018,454,149.0,2932
Двойное подчинение,Алиса Ковалевская,6471.0,9729,937470,18+,0,14.08.2020,159,132.0,4118
Моя вопреки,Алекса Адлер,7239.0,10323,941795,18+,0,10.10.2021,256,149.0,5028
Свадьба (не) состоится,Диана Рымарь,5550.0,11434,2254891,0,4240,02.01.2022,287,159.0,4677
Ловушка по соседству,Любовь Попова,1326.0,3903,251141,18+,602,28.03.2022,200,159.0,1292
Мой любимый тренер,Диана Рымарь,1650.0,3253,543940,0,69,21.07.2022,221,159.0,1393
Ферма на краю мира,Теона Рэй,912.0,3383,147779,0,247,21.10.2022,152,142.0,870
Без тебя нельзя,Любовь Попова,2068.0,3995,417350,18+,1180,30.11.2022,176,159.0,1844
Последняя жена Синей Бороды,Натаэль Зика,1718.0,3037,438414,0,1849,01.12.2022,381,159.0,1439
Так обладает ужасное чудовище,Екатерина Юдина,3012.0,4917,467754,18+,1596,01.03.2023,311,159.0,2582
Спорим на желание?,Кристина Майер,1027.0,2442,150638,18+,50,14.03.2023,92,159.0,941
Темные секреты Вэйстон-Дай,Теона Рэй,607.0,2656,137479,0,160,25.03.2023,192,142.0,569
Между нами обман,Любовь Попова,1607.0,3110,227089,18+,593,11.06.2023,157,159.0,1345
Не твой сын,Екатерина Кариди,5076.0,9601,1714199,0,5325,16.01.2024,217,159.0,4533
Пышка для Дерзкого,Анна Долгова,310.0,2393,63192,18+,11,27.04.2024,99,130.05,302
"Дочь, о которой ты не знаешь",Тая Наварская,556.0,2480,164339,0,99,17.08.2024,151,135.15,548
Печать безумных. Солнце поражения,Екатерина Гичко,220.0,634,4779,18+,94,18.11.2024,79,0.0,202
Звезда+1,Алайна Салах,19701.0,24812,3138383,18+,3185,21.03.2019,120,0.0,18860
Нерабочие отношения,Ольга Игнатова,84.0,591,26835,18+,4,08.10.2024,151,0.0,84
Жена темного бога,Элис Айт,132.0,929,5699,18+,43,25.11.2024,31,0.0,130
Хулиган по соседству,Кейт Морф,116.0,980,6733,18+,10,27.11.2024,17,0.0,108
Ребенок от босса. Моя тайна,Тая Наварская,3131.0,7874,1268708,0,764,17.08.2023,158,159.0,2665
"Жена неверного адмирала, или Шаурма от попаданки",Матильда Аваланж,3443.0,15740,2005587,0,1949,21.04.2024,324,159.0,3323
Прими как есть. Я рядом,Дарья Данина,272.0,967,39095,18+,261,21.07.2024,248,119.0,229
Единственная князя Ларина. История попаданки,Селена Безрукова,380.0,2414,103993,0,321,01.08.2024,95,119.0,380
Изгнанная. Хозяйка травяной лавки,Эйрена Космос,468.0,3321,107925,0,174,02.10.2024,84,119.0,462
Хрустальное королевство леди-попаданки,Марина Ружанская,442.0,3094,31304,0,73,17.11.2024,35,119.0,367
Сводные. Всё началось с ненависти,Мила Любимая,195.0,1112,9214,18+,43,22.11.2024,30,0.0,173
Ключи к ледяному сердцу,Алина Углицкая,209.0,1021,5467,0,63,01.12.2024,23,0.0,170
Нам нельзя,Ольга Джокер,9933.0,13298,2334481,18+,3843,09.01.2021,258,159.0,5899
Я подарю тебе ребёнка,Маша Малиновская,7948.0,13252,1223626,0,1000,28.08.2021,158,175.0,3973
Расплата. Отбор для предателя,Алиса Лаврова,1464.0,8878,837486,0,553,05.03.2024,269,159.0,1268
Пленница повелителя драконов,Светлана Солнцева,754.0,4571,183016,18+,198,10.04.2024,115,119.0,464
Я нас предал,Мила Младова,1864.0,7243,337864,18+,71,16.04.2024,213,149.0,1862
Измена. Не позволю уйти,Оксана Алексаева,648.0,2133,198209,0,264,23.04.2024,165,159.0,556
"Гарем попаданки, или Трон с подвохом",Тина Блестящая,422.0,3222,104325,18+,443,24.06.2024,215,129.0,412
Истинная звездных принцев,Мира Влади,408.0,1825,63446,18+,165,21.08.2024,163,159.0,408
Княжна Разумовская. Спасти Императора.,Виктория Богачева,392.0,1963,60527,0,207,13.09.2024,226,119.0,354
"Бывший. Спасибо, что лгал мне",Элен Ош,193.0,891,25544,18+,61,20.10.2024,72,0.0,183
Я подаю на развод. Оставь мне дочь,Анна Лапина,347.0,1613,83294,0,134,21.10.2024,80,119.0,333
В моем счастье прошу винить амнезию,Джейд Дэвлин,422.0,1310,17245,0,179,13.11.2024,68,139.0,390
Жестокий развод,Ария Тес,264.0,1052,10670,18+,82,16.11.2024,64,119.0,244
Медовый дом княжны Полины,Эва Гринерс,161.0,882,6016,0,122,22.11.2024,35,0.0,145
Не Святой Валентин,Елена Николаева,42874.0,73171,15491615,18+,3541,25.03.2018,288,0.0,41534
Фиктивная невеста Тайного советника,Наталья Кошка,318.0,1469,28654,18+,120,17.11.2024,46,0.0,226
Хочу тебя в долг,Валерия Ангелос,22087.0,41744,6148775,18+,5388,21.12.2019,465,199.0,10380
Измена. Отвергнутая жена дракона,Северина Рэй,2549.0,10206,1223805,0,1307,30.09.2023,225,159.0,2495
Отцы подруг. Порок на троих,Алая Бетти,301.0,1948,75579,18+,15,24.10.2024,97,109.0,291
"Было, но прошло",Виктория Анкай,413.0,1380,29143,18+,339,04.11.2024,90,101.15,342
После развода. Другая дверь. Бонусы,Екатерина Кариди,1059.0,2974,41936,0,120,18.11.2024,7,0.0,1049
Сборник эротических рассказов,Аля Даль,1091.0,10656,1011969,18+,0,07.06.2022,150,0.0,1088
Эротические рассказы в жанре фэнтези,Любовь Негодяева,1708.0,7126,358528,18+,156,15.09.2023,310,139.0,1462
Брак по расчету,Анна Мишина,439.0,2205,324171,0,334,19.05.2024,193,119.0,355
Я тебя спасу,Инна Инфинити,1317.0,4880,247515,18+,405,14.08.2024,184,127.2,1309
"Бывшие. Малышка, я твой. Босс!",Алиса Климова,489.0,4840,189798,0,17,28.10.2024,106,159.0,489
"№333, или Притворись, что любишь 2",Диана Рымарь,6441.0,6707,1189522,18+,1527,18.12.2018,250,159.0,3973
Держись от меня… поближе!,Диана Рымарь,9364.0,15543,2577774,0,1562,19.09.2019,176,159.0,6186
Не бесите Павлика,Маргарита Дюжева,2591.0,3950,164016,0,597,01.05.2020,160,155.0,1692
Наследник для бандита,Олли Серж,3304.0,7346,600803,18+,688,15.06.2020,158,159.0,2278
Его должница,Олли Серж,4699.0,9785,1273710,0,1339,28.02.2021,186,159.0,3222
Двойня для босса. Стерильные чувства,Вероника Лесневская,11864.0,14689,3286871,0,2964,12.03.2021,272,176.0,7139
Семья в долг,Александра Багирова,5372.0,7446,1129528,0,758,27.08.2021,238,159.0,1492
Посмертие-1. Странник миров,Андрей Ефремов,4978.0,6351,459385,0,212,13.09.2021,309,175.0,1215
Его сбежавшая невеста,Любовь Попова,7484.0,12911,1043276,18+,2201,27.09.2021,156,159.0,5992
"Я – невеста Кощея, или Ленка, ты попала!",Лоя Дорских,4821.0,5904,685932,0,842,11.10.2021,244,164.0,2015
( Не) мой папа,Маргарита Дюжева,3312.0,8937,753305,18+,1435,20.12.2021,155,155.0,3112
Два босса для меня,Мария Зайцева,2629.0,4016,367672,18+,417,19.08.2022,201,210.0,2202
Цена мира. Родить от врага,Asti Brams,4669.0,10770,1790258,18+,2909,02.11.2022,237,144.0,3733
Фиктивная жена для мажора,Адалин Черно,1859.0,6399,798412,0,266,13.11.2022,155,125.0,1601
"Дракон по заказу, или Приворот под Новый год",Елена Горская,2304.0,8217,498290,0,396,20.12.2022,226,159.0,1759
Измена. Невозможно простить,Марина Владимирова-Бойко,405.0,1623,92287,0,159,06.02.2023,151,153.0,396
Навсегда с тобой,Адалин Черно,1703.0,4708,496878,18+,397,26.02.2023,163,125.0,1457
Держись от меня подальше,Кира Лафф,786.0,3307,280660,18+,30,04.03.2023,246,159.0,672
Игры на грани. Испорченный,Bambie,1013.0,3346,205414,0,0,06.10.2023,163,159.0,912
Ты. Я. Он.,Маша Драч,538.0,2173,83483,18+,146,23.11.2023,151,159.0,481
Снегурка для опера Морозова,Анна Бигси,2137.0,6155,440964,18+,705,28.11.2023,157,179.0,1970
Мой любимый генеральный,Диана Рымарь,2087.0,5541,612654,0,689,05.12.2023,174,159.0,1825
Магазинчик чудесных предметов. Драконам - закрыто!,Риска Волкова,352.0,2377,83043,0,124,10.01.2024,151,134.1,333
Игрушка авторитета,Ая Кучер,3587.0,11257,1129036,18+,1083,10.02.2024,131,179.0,3536
"Факультет боевой магии. Берегись, дракон!",Глория Эймс,418.0,1701,65665,0,67,12.04.2024,166,159.0,312
Скандальный развод. (не) уйти от Губернатора,Анна Герцева,742.0,2211,180087,0,414,10.05.2024,160,159.0,630
На кону муж,Орхидея Страстная,100.0,506,20502,18+,7,18.11.2024,139,179.0,98
Невинная для Отчима,Эра Фогель,134.0,849,11886,18+,56,25.10.2024,45,0.0,134
Хочу тебя жестко,Анна Шварц,4283.0,18044,1883569,18+,1809,20.06.2022,261,0.0,4188
Самая слабая особь,Елена Сергеева,11833.0,26859,5637784,18+,1961,22.11.2022,427,0.0,11510
Контракт с подонком,Янка Рам,8565.0,14831,1703856,18+,5465,16.03.2024,265,179.0,7025
"Никчёмная герцогиня, или Ты моё пророчество",Анна Кривенко,292.0,1299,38214,0,166,04.08.2024,169,149.0,286
"Избранная злодея, или переиграть судьбу",София Руд.,2871.0,4973,142562,0,247,11.08.2024,158,119.0,2767
Мне. Её. Нельзя,Ольга Дашкова,400.0,1946,45553,18+,234,20.08.2024,135,119.0,390
Предатель. Больше не поверю тебе,Екатерина Янова,377.0,2061,36178,18+,107,18.09.2024,41,0.0,373
Бывшие. Прощению не подлежит,Ника Горская,302.0,1202,32592,18+,128,23.09.2024,121,119.0,268
Маленькое сердце,Лила Каттен,265.0,1197,27856,0,118,16.10.2024,78,0.0,265
Слово короля. Слезы попаданки,Татьяна Антоник,420.0,1240,14048,0,148,30.10.2024,85,99.96,341
Не Барби для босса,Аня Истомина,336.0,1594,28949,18+,132,01.11.2024,51,0.0,334
Тайный ребёнок от Босса,Лили Лэнг,147.0,629,10429,18+,164,17.11.2024,125,0.0,128
Тайный мир Иных. Рассказы.,Валентина Елисеева,563.0,2147,10292,0,91,22.11.2024,62,0.0,520
Право на девочку. Книга первая,Марина Кистяева,15198.0,23939,3461071,18+,4992,19.09.2021,200,159.0,8922
"Право дракона, или Невеста вне отбора",Диана Рахманова (Рыжая Ехидна),170.0,1040,30329,0,19,10.11.2024,146,0.0,170
Эксперимент,Наталья Юнина,9036.0,12091,1265867,18+,3129,11.04.2023,304,159.0,6664
Купите деве мужика,Марина Кистяева,2761.0,7120,367666,18+,1366,26.04.2024,154,159.0,2623
Нелюбушка,Даниэль Брэйн,399.0,2294,67361,0,159,01.08.2024,179,125.0,397
Зверь. Я верну тебя!,Марина Бархатова,316.0,1237,45140,18+,194,03.09.2024,122,119.0,262
Строптивая попаданка для лорда Протектора,Юлиана Григорьева,540.0,2875,190142,0,73,09.09.2024,175,0.0,538
Няня для злого босса,Ольга Ромина,309.0,1398,184786,0,264,14.09.2024,144,119.0,293
"""Не"" курорт для попаданки - 2.  Хозяйка горной страны",Алёна Макарова,451.0,1428,83071,0,361,23.09.2024,113,119.0,415
Под прицелом Диктатора,Кара Райр,194.0,1003,13785,18+,29,18.10.2024,52,0.0,188
Мой дикий сводный,Аня Истомина,200.0,763,1736,18+,24,07.12.2024,7,0.0,196
Люби меня Дерзко,Джулия Ромуш,3914.0,7862,1244850,18+,515,24.04.2020,151,179.0,2819
Овладей мной,Джулия Ромуш,6867.0,14411,1785930,18+,1611,13.03.2021,159,179.0,5199
Измена. Свадьба дракона,Белова Екатерина,5311.0,9633,1997441,0,1165,19.04.2023,236,159.0,3967
"Это спецназ, детка",Юлианна Орлова,3763.0,8800,736584,18+,876,20.11.2023,195,169.0,3438
Последняя из забытого рода 2. Права и обязанности,Ирина Властная,2551.0,8841,380767,0,538,20.04.2024,409,179.0,2419
"Ты обещал жениться, опер!",Анна Бигси,1856.0,6233,368057,18+,805,06.05.2024,157,179.0,1746
Жена по договору,Сашетта Котляр,435.0,2188,139819,0,305,14.08.2024,181,119.0,399
Хозяйка хищного сада,Наталья Буланова,310.0,1197,31108,0,225,09.10.2024,126,139.0,290
Секретарша бандита,Лея Кейн,379.0,2530,119905,18+,17,10.10.2024,152,0.0,377
"Экзамен по любви, развод не предлагать",Натализа Кофф,483.0,1837,30319,18+,216,18.10.2024,61,119.0,403
Пять мужей Эринии,Молли Н,2483.0,9969,674351,18+,456,10.02.2024,199,0.0,2461
Мое проклятие. Право на жизнь,Алиса Ардова,23230.0,51132,4047151,0,3812,27.12.2015,285,0.0,21352
Он тебя не любит(?),Тала Тоцка,14986.0,22983,2956912,0,3509,16.10.2020,340,199.0,9701
"Мне нужна жена! Что значит, вы подумаете?!",Ольга Обская,16007.0,21282,4579798,0,5546,31.03.2021,325,159.0,11396
"Мужья на сдачу, или Центр их Равновесия",Диана Руш,15636.0,33957,5989163,18+,2649,15.09.2021,255,0.0,15004
Сводная сестра мажора,Ника Черника,492.0,1831,93184,18+,321,14.10.2022,184,179.0,426
Невестка слепого барона,Полина Ром,3829.0,11013,1093387,0,1752,06.03.2024,375,199.0,3211
Хозяйка Замка Дракона,Алиса Лаврова,620.0,7934,360333,0,155,17.06.2024,158,119.0,600
Игра на повышение,Амели Хоуп,177.0,931,28321,18+,90,21.08.2024,149,0.0,161
Хозяйка гостиницы у моря,Хелен Гуда,428.0,3270,69489,0,122,23.09.2024,63,119.0,412
"Изгнанная князем, или Хозяйка лавки ""Блага из молока""",Мята Мятная,967.0,3183,101799,0,335,30.09.2024,86,119.0,947
Смертельный отбор: в поисках истинной,Наталья Дорофеева,21841.0,46031,5594557,18+,5763,02.04.2023,258,0.0,18941
Нас просто не было,Маргарита Дюжева,2762.0,4391,245894,18+,242,11.05.2017,439,137.0,2169
1000 не одна ночь (1 книга),Ульяна Соболева,10856.0,6396,481538,18+,3615,05.05.2018,171,149.0,5285
Волчица,Боярова Мелина,1290.0,2678,97139,0,294,09.04.2020,179,130.0,1010
Ты мне не сестра,Любовь Попова,6121.0,9003,1273347,18+,1214,20.07.2020,167,144.0,4164
Идеальный развод,Елена Попова,3707.0,9802,755930,18+,1177,03.08.2020,155,159.0,2303
Невинная жена для мажора,Лена Лорен,5227.0,10393,694237,18+,333,23.01.2021,200,175.0,1053
Ночь с лучшим другом,Любовь Попова,2256.0,5698,404792,18+,1089,13.02.2021,151,144.0,1772
Семья для нефтяного магната,Олли Серж,2745.0,7863,683925,0,1137,08.09.2021,153,159.0,2158
Невеста из другого мира. Травница,Ирина Снегирева,6728.0,8896,791931,0,1661,14.09.2021,238,164.0,2818
Жестокий роман. После,Валерия Ангелос,2322.0,5351,271154,18+,0,26.08.2022,188,125.0,1764
Замуж не всерьёз. Воронцовы,Регина Янтарная,442.0,1801,162924,0,212,13.09.2022,154,159.0,389
Мужчины готовьтесь... Иду покорять,Алена Бондар,487.0,1870,119057,18+,70,04.01.2023,375,144.0,430
Трудовыебудни. В том гробу твоя зарплата,Кристина Юраш,1608.0,4552,216360,0,208,06.02.2023,375,159.0,1552
Хулиганка для маньяка,Маргарита Дюжева,1058.0,2058,77752,18+,349,15.03.2023,152,159.0,969
Майор по соседству,Любовь Попова,1997.0,3183,228483,18+,437,20.03.2023,152,159.0,1777
Притяжение,Ники Сью,1187.0,3769,244812,0,220,09.04.2023,146,100.0,1017
Измена. Жизнь напополам,Алиса Квин,1006.0,3018,264699,0,553,10.04.2023,170,143.65,942
Неверный. Цена любви,Ая Кучер,3180.0,7836,1712392,18+,2074,22.04.2023,314,159.0,3136
Порочная невинность,Хелен Гуда,884.0,2873,88723,18+,78,15.05.2023,154,159.0,768
Иль Аср. Перед закатом,Ульяна Соболева,1001.0,3467,136640,18+,579,26.09.2023,151,169.0,833
Развод. Другая семья мужа,Кристина Весенняя,1355.0,3842,603032,0,0,21.01.2024,169,159.0,1317
Двойная тайна от Миллиардера. После развода,Даша Литовская,797.0,3273,359384,0,0,02.02.2024,152,164.0,753
Без права на ошибку. Спасти свою дочь,Кэти Свит,728.0,3299,345562,0,227,12.02.2024,155,159.0,666
Иль Хариф. Страсть эмира,Ульяна Соболева,675.0,2602,91674,18+,497,21.03.2024,151,169.0,639
Вторая попытка для попаданки,Дарья Верескова,5225.0,8727,544118,0,3013,08.05.2024,282,149.0,4435
Счастье на краю,Адель Хайд,1538.0,5799,394437,0,748,03.06.2024,297,149.0,1492
"Невеста в бегах. Гуси, грядки... герцог?!",Константин Фрес,1171.0,5446,296140,0,840,04.07.2024,206,149.0,1159
Невинная одержимость дракона,Виктория Грин,694.0,3285,193089,18+,100,18.07.2024,151,0.0,686
"Скандал, развод и Новый год",Ольга Гольдфайн,524.0,1365,89645,0,312,12.10.2024,132,129.0,496
Одержимость мажора. Ты только моя,Юлия Стишковская,267.0,1448,75735,0,424,23.10.2024,138,99.0,233
Новая семья под Новый год,Ольга Игонина,152.0,860,9629,0,25,27.11.2024,27,0.0,144
Строптивая истинная в Академии Драконов,Александра Берг,93.0,1084,7399,0,28,28.11.2024,20,0.0,91
Своей судьбы хозяйка. Беглянка,Александра Гриневич,24.0,463,2067,0,1,28.11.2024,273,110.0,24
"Пара для дракона, или рецепт идеального глинтвейна",Алиса Чернышова,21315.0,68088,6194615,18+,2466,14.05.2019,314,0.0,20363
"( Не) случайная истинная, или Как выжить в академии драконов",Рина Вергина,294.0,1094,41524,0,89,05.11.2024,61,0.0,206
Кукла. Хрупкое счастье,Слава Ленская,199.0,1028,9633,0,56,21.11.2024,50,0.0,191
Сладкие булочки мадам попаданки,Дина Нежина,138.0,1332,10603,18+,30,24.11.2024,38,0.0,134
Архипов. Псионик,Сергей Баранников,31.0,298,3291,0,4,03.12.2024,25,0.0,27
Мой опасный маршал,Татьяна Гончарова,3045.0,8806,582284,18+,545,27.04.2024,163,159.0,2839
"Невеста понарошку, или Сиротка для дракона",Мила Синичкина,631.0,2990,130192,0,287,18.07.2024,141,119.0,553
Заперты в люксе. Босс моего жениха,Ксения Фави,2508.0,6661,430243,18+,619,31.07.2024,154,159.0,2506
Невинная для снежного барса,Тори Озолс,311.0,1425,85226,18+,153,01.08.2024,202,109.0,301
Проблемы с привкусом Мятного,Майя Пивоварова,397.0,1611,52340,0,182,27.09.2024,158,0.0,387
Битва за Королеву,Диана Клэр,261.0,1142,41238,0,147,07.10.2024,185,129.0,259
Попутчица,Элена Макнамара,295.0,1288,25309,18+,285,14.10.2024,128,129.0,269
Измена. Одной мало,Вильда Кранц,185.0,1144,21853,18+,56,08.11.2024,52,0.0,185
Брошенная,Ирина Икс,76.0,442,8903,0,0,23.11.2024,35,0.0,76
Хочу твоим первым,Инна Стужева,9484.0,38887,6068292,0,0,28.08.2022,300,0.0,9374
Жажда,Валерия Ангелос,13189.0,23892,2454849,18+,2405,25.02.2021,267,199.0,7735
Лучший студент,Айлин Брайт,545.0,1456,132613,18+,84,11.06.2021,182,149.0,411
В плену запрета,Сара Адам,2668.0,9301,1043478,18+,4192,14.03.2024,293,169.0,2296
Учитель моего сына,Инна Инфинити,2491.0,7198,514592,18+,972,11.05.2024,186,169.0,2383
Наследница сиротского приюта,Юлия Нова,1380.0,6728,299442,0,386,22.05.2024,206,119.0,1008
Мой сводный подонок,Дарья Белова,390.0,1611,72582,18+,418,24.07.2024,227,179.0,372
Жестокий муж,Арина Вильде,1914.0,8973,1068644,18+,1492,25.07.2024,238,169.0,1872
Беременна от подонка,Кира Сорока,298.0,1659,43974,18+,261,15.09.2024,188,129.0,292
Неравный брак,Анна Завгородняя,473.0,1834,35887,0,592,04.10.2024,104,119.0,381
Драконья ферма для попаданки,Арина Лефлёр,635.0,3257,163761,0,230,25.10.2024,99,119.0,579
Ювелирное дело бесстрашной Ирэн,Ноэль Ламар,90.0,501,11055,0,40,08.11.2024,125,0.0,90
"Забудь меня, Эй",Тала Тоцка,29214.0,48305,5459713,18+,2673,19.10.2019,280,199.0,16453
Измена. Право на семью,Арина Арская,3939.0,7545,1939156,0,1164,11.04.2023,152,159.0,3615
Три Ангела для миллиардера. Свадебный кортеж,Тала Тоцка,10287.0,20809,2817751,0,2753,28.10.2023,244,199.0,9131
Я тебя не отпущу,Марья Коваленко,4132.0,10021,1157277,18+,1850,11.02.2024,185,199.0,3609
Зверь. Невинность в расплату,Кира Лафф,1850.0,7751,848827,18+,1161,19.02.2024,206,169.0,1813
Наказание для бандита,Кристина Майер,1697.0,5854,253876,18+,571,08.08.2024,153,179.0,1595
Канарейка Великого князя,Ольга Росса,434.0,2138,48441,0,268,05.09.2024,149,119.0,396
Развод. А была ли любовь?,Ирма Шер,238.0,1396,38043,0,63,23.09.2024,46,0.0,232
Опасная принцесса,Полина Лоранс,245.0,1360,85216,18+,139,06.11.2024,58,129.0,215
Друг отца. С ним нельзя,Оливия Лоран,283.0,641,13430,18+,93,17.11.2024,34,0.0,259
Лисичка для братьев-драконов,Екатерина Антонова,93.0,774,11375,18+,91,26.11.2024,39,0.0,93
Запрет на Истинность,Светлана Томская,115.0,964,14310,0,15,27.11.2024,209,169.0,109
Смертельная игра,Анна Ди,95.0,551,1405,18+,16,01.12.2024,7,0.0,95
Любимая учительница,Мария Зайцева,11213.0,6172,1797150,18+,933,18.01.2020,181,224.1,7136
